norm_name,name_examples,n_segments,n_events,prefs,domains
広域基幹円谷広瀬,広域基幹林道 円谷広瀬線,22,22,,
梅川,梅川林道,22,22,,
湯の沢,林道湯の沢線 / 湯の沢林道,22,22,,
盆堀,林道盆堀線,22,22,,
緑資源幹線滝雄厚和線白滝丸瀬布区間,緑資源幹線林道 滝雄・厚和線 白滝・丸瀬布区間,22,22,,
葡萄沢,林道葡萄沢線 / 葡萄沢林道,22,22,,
雄山環状,林道雄山環状線,22,22,,
風防路,風防林道路線,22,22,,
ヌタップ,ヌタップ林道,21,21,,
上瀬戸,上瀬戸林道,21,21,,
中の川,中の川林道 / 林道中の川線,21,21,,
別々,別々林道,21,21,,
大谷,大谷林道 / 林道　大谷線 / 林道大谷線,21,21,,
小川南部沢,林道 小川南部沢線,21,21,,
小武川,林道小武川線,21,21,,
折越,林道折越線,21,21,,
早戸川,早戸川林道 / 林道早戸川線,21,21,,
焼山,林道焼山線 / 焼山林道,21,21,,
相生支流,相生支流林道,21,21,,
赤井川,赤井川林道,21,21,,
雲取,林道雲取線,21,21,,
高野,林道高野線 / 高野林道,21,21,,
黒鴨,林道 黒鴨線,21,21,,
1000m,1000m林道,20,20,,
シュンクシタカラ,シュンクシタカラ林道,20,20,,
右股,右股林道,20,20,,
向山,向山林道 / 林道向山線,20,20,,
大洞,大洞林道 / 林道大洞線,20,20,,
奥定山渓,奥定山渓林道,20,20,,
川上牧丘,林道川上牧丘線,20,20,,
広河原逆川,林道広河原逆川線,20,20,,
日影,林道日影線,20,20,,
氷ヶ瀬小俣,氷ヶ瀬小俣林道,20,20,,
萩野,萩野林道,20,20,,
馬坂,林道馬坂線 / 馬坂林道,20,20,,
三岩,三岩林道,19,19,,
八溝縦貫,林道八溝縦貫線,19,19,,
公団幹線日吉松野,公団幹線林道日吉松野線,19,19,,
厚平内,厚平内林道,19,19,,
厚真川,厚真川林道,19,19,,
大久保,大久保林道 / 林道大久保線,19,19,,
大窪,大窪林道 / 林道大窪線,19,19,,
安ヶ森,安ヶ森林道 / 林道安ヶ森線,19,19,,
小塩塩ノ岐,林道小塩塩ノ岐線,19,19,,
層雲峡本流,層雲峡本流林道,19,19,,
山王,山王林道,19,19,,
川上,川上林道 / 林道川上線,19,19,,
川津今西,林道川津今西線,19,19,,
左股,左股林道,19,19,,
広域基幹富士東部北,広域基幹林道富士東部(北)線,19,19,,
敷舎内,敷舎内林道,19,19,,
旭,旭林道 / 林道旭線,19,19,,
武利本流,武利本流林道,19,19,,
河内南谷,林道河内南谷線,19,19,,
河内谷,林道河内谷線,19,19,,
浜益岳,浜益岳林道,19,19,,
白谷,林道白谷線 / 白谷林道,19,19,,
美河,美河林道,19,19,,
谷山,林道谷山線 / 谷山林道,19,19,,
長谷高遠,林道長谷高遠線,19,19,,
黒川,林道黒川線 / 黒川林道,19,19,,
39線沢,39線沢林道,18,18,,
トイマルク,トイマルク林道,18,18,,
ハビウ,ハビウ林道,18,18,,
ポンサックルトワルベツ支庁界,ポンサックルトワルベツ支庁界線林道,18,18,,
七久保橋倉,林道七久保橋倉線,18,18,,
三石,三石林道,18,18,,
三角点沢,三角点沢林道,18,18,,
上丸本流,上丸本流林道,18,18,,
剣抜大洞,林道剣抜大洞線,18,18,,
南山,南山林道 / 林道南山線,18,18,,
呉石境目,林道呉石境目線,18,18,,
城山,城山林道 / 林道 城山線 / 林道城山線,18,18,,
基幹樫ノ木峠,基幹林道樫ノ木峠線,18,18,,
大石沢,大石沢林道 / 大石沢線林道,18,18,,
小松原,小松原林道,18,18,,
山中,林道山中線,18,18,,
市ノ俣,市ノ俣林道,18,18,,
広域基幹七ヶ岳,広域基幹林道七ヶ岳線,18,18,,
広域基幹大国,広域基幹林道大国線,18,18,,
日向,日向林道 / 林道日向線,18,18,,
東の沢,東の沢林道 / 林道東の沢線,18,18,,
浅間,林道浅間線 / 浅間林道,18,18,,
浅間山,林道浅間山線 / 浅間山林道,18,18,,
田内野平,林道田内野平線,18,18,,
白山,林道白山線 / 白山林道,18,18,,
盤の沢,盤の沢林道,18,18,,
芽登川,芽登川林道,18,18,,
野上,野上林道,18,18,,
野入月ヶ平,林道 野入月ヶ平線,18,18,,
トマンケシ,トマンケシ林道,17,17,,
丹後縦貫成相,丹後縦貫林道 成相線,17,17,,
二の沢,二の沢林道,17,17,,
佐幌循環,佐幌循環林道,17,17,,
別狩,別狩林道 / 別狩線林道,17,17,,
南アルプス,南アルプス林道,17,17,,
基幹苓北天草,基幹林道苓北天草線,17,17,,
小沢,小沢林道 / 林道小沢線,17,17,,
尺里,林道尺里線,17,17,,
幌尻,幌尻林道,17,17,,
平野,平野林道 / 林道平野線,17,17,,
広川原～高造路,林道広川原～高造路線,17,17,,
庶路本流,庶路本流林道,17,17,,
栗原川,栗原川林道,17,17,,
源河有銘,源河有銘林道,17,17,,
由仁石狩,由仁石狩林道,17,17,,
空沼岳,空沼岳林道,17,17,,
西谷,林道西谷線 / 西谷林道,17,17,,
阿寒パンケトー,阿寒パンケトー林道,17,17,,
カジカ沢,カジカ沢林道,16,16,,
一の木,林道一の木線,16,16,,
三石山,林道三石山線,16,16,,
五秋,五秋林道,16,16,,
倉沢,倉沢林道 / 林道倉沢線,16,16,,
厚田,厚田林道,16,16,,
大向長者原,林道大向長者原線,16,16,,
大峰,大峰林道 / 林道大峰線,16,16,,
大川,大川林道 / 林道大川線,16,16,,
奥庶路,奥庶路林道,16,16,,
小田池川,林道 小田・池川線 / 林道小田・池川線,16,16,,
札友内,札友内林道,16,16,,
桂川,林道桂川線 / 桂川林道,16,16,,
法皇,林道法皇線,16,16,,
濁川,林道濁川線 / 濁川林道,16,16,,
犬鳴東手川,林道犬鳴東手川線,16,16,,
由仁,由仁林道,16,16,,
町様似パンケ,町林道 様似パンケ線 / 町林道様似パンケ線,16,16,,
白沢,林道白沢線 / 白沢林道,16,16,,
知床,知床林道,16,16,,
稲里,稲里林道,16,16,,
緑資源幹線宇目小国線竹田荻区間,緑資源幹線林道 宇目・小国線 竹田・荻区間,16,16,,
花矢,林道 花矢線,16,16,,
西前高原,林道西前高原線,16,16,,
豊岡,林道豊岡線 / 豊岡林道,16,16,,
赤沢,赤沢林道,16,16,,
遠山本谷,遠山本谷林道,16,16,,
35線沢,35線沢林道,15,15,,
ふるさと大芝,ふるさと林道 大芝線,15,15,,
ポントムラウシ,ポントムラウシ林道,15,15,,
ポンペンケチャロマップ,ポンペンケチャロマップ林道,15,15,,
一ノ瀬,一ノ瀬林道 / 林道一ノ瀬線,15,15,,
上徳,上徳林道,15,15,,
上足寄,上足寄林道,15,15,,
佐藤ヶ平,佐藤ヶ平林道,15,15,,
元屋敷,林道元屋敷線,15,15,,
別又嘉例沢,林道別又嘉例沢線,15,15,,
土倉,土倉林道 / 林道土倉線,15,15,,
坂瀬,坂瀬林道,15,15,,
大岳,大岳林道 / 林道 大岳線 / 林道大岳線,15,15,,
太田部峠2号,林道太田部峠2号線,15,15,,
奥山,奥山林道 / 林道奥山線,15,15,,
小佐渡,林道小佐渡線,15,15,,
広域基幹陣馬形,広域基幹林道陣馬形線,15,15,,
折川黒松内,折川黒松内線林道,15,15,,
新鞍谷,林道新鞍谷線,15,15,,
本谷釜瀬線クリスタルライン,林道本谷釜瀬線（クリスタルライン）,15,15,,
東俣,東俣林道 / 林道東俣線,15,15,,
東御荷鉾,林道東御荷鉾線,15,15,,
池田西部,林道池田西部線,15,15,,
渡川尾八重,林道渡川・尾八重線,15,15,,
滝ノ沢,林道滝ノ沢線 / 滝ノ沢林道,15,15,,
焼山寺名ヶ平,林道焼山寺名ヶ平線,15,15,,
笹の沢,笹の沢林道,15,15,,
苅場坂,林道苅場坂線,15,15,,
贄川橋戸贄川,贄川橋戸（贄川）林道,15,15,,
金ヶ沢,金ヶ沢林道,15,15,,
オロピリカ,オロピリカ林道,14,14,,
シンノスケ５の沢,シンノスケ５の沢林道,14,14,,
トワルベツルコツ,トワルベツルコツ線林道,14,14,,
ニイタップ,ニイタップ林道,14,14,,
パンケキナウシ,パンケキナウシ林道,14,14,,
パンケヌーシ,パンケヌーシ林道,14,14,,
ホロナイ,ホロナイ林道,14,14,,
ラルマナイ,ラルマナイ林道,14,14,,
上ガロー,上ガロー林道,14,14,,
二口,二口林道 / 林道二口線,14,14,,
八月沢,八月沢林道,14,14,,
北沢,北沢林道 / 林道北沢線,14,14,,
北谷,北谷林道 / 林道北谷線,14,14,,
厚田左股,厚田左股林道,14,14,,
口無,口無林道,14,14,,
向谷,林道向谷線,14,14,,
大岩,大岩林道 / 林道大岩線,14,14,,
大滝沢,大滝沢林道 / 林道大滝沢線,14,14,,
大白川,大白川林道,14,14,,
大紀南島,大紀南島林道,14,14,,
奥斗満,奥斗満林道,14,14,,
奥武蔵2号,林道奥武蔵2号線,14,14,,
小川目,小川目林道,14,14,,
小樽川,小樽川林道,14,14,,
広域基幹奥与那,広域基幹林道奥与那線,14,14,,
志計留辺,志計留辺林道,14,14,,
日の出,日の出林道,14,14,,
日照岳,日照岳林道,14,14,,
易国間,易国間林道,14,14,,
栗山,林道栗山線 / 栗山林道,14,14,,
桂沢,桂沢林道,14,14,,
森茂六厩川,森茂六厩川林道,14,14,,
池田中央,林道池田中央線,14,14,,
沢入,林道沢入線 / 沢入林道,14,14,,
滑,滑林道,14,14,,
燧裏,燧裏林道,14,14,,
白水,白水林道,14,14,,
緑資源幹線日野金城線旭金城区間,緑資源幹線林道 日野金城線 旭・金城区間,14,14,,
荒沢,荒沢林道,14,14,,
落合椹谷,落合椹谷林道,14,14,,
薬師,林道薬師線 / 薬師林道,14,14,,
西沢,林道西沢線 / 西沢林道,14,14,,
見市二股川,見市二股川林道,14,14,,
越歳,越歳林道,14,14,,
里音別,里音別林道,14,14,,
音更沢,音更沢林道,14,14,,
高原,林道高原線 / 高原林道,14,14,,
黒森,林道黒森線 / 黒森林道,14,14,,
ウエンザル,ウエンザル林道,13,13,,
ソウド谷,林道 ソウド谷線,13,13,,
ヌプントムラウシ,ヌプントムラウシ林道,13,13,,
ユートムラウシ,ユートムラウシ林道,13,13,,
下呂,下呂林道,13,13,,
乙部関内,乙部関内林道,13,13,,
今泉吾国,林道今泉吾国線,13,13,,
伏辺山,伏辺山林道 / 林道 伏辺山線,13,13,,
併用オサツナイ,併用林道オサツナイ線,13,13,,
併用パンケオチンナイ,併用林道パンケオチンナイ線,13,13,,
北山,北山林道 / 林道北山線,13,13,,
南葉山,林道南葉山線,13,13,,
吾嬬山,林道吾嬬山線,13,13,,
和見棚頭,林道和見棚頭線,13,13,,
大田東山,林道大田東山線,13,13,,
太辛,太辛林道,13,13,,
妙高小谷,林道妙高小谷線,13,13,,
富士循環,富士循環林道,13,13,,
岩根沢,岩根沢林道,13,13,,
幾春別,幾春別林道,13,13,,
広域基幹別又僧ヶ岳,広域基幹林道別又僧ヶ岳線,13,13,,
広域基幹浮岳羽金山,広域基幹林道浮岳-羽金山線,13,13,,
広域基幹鵜川村井,広域基幹林道鵜川村井線,13,13,,
後山,後山林道 / 林道後山線,13,13,,
御岳御厩野,御岳御厩野林道,13,13,,
志文内,志文内林道,13,13,,
様似大泉,様似大泉林道,13,13,,
横川,林道横川線 / 横川林道,13,13,,
水無沢,林道水無沢線 / 水無沢林道,13,13,,
沼の沢,沼の沢林道,13,13,,
然別,然別林道,13,13,,
王古丹,王古丹林道,13,13,,
立柏,林道立柏線,13,13,,
笹山山入線緑資源幹線波佐阿武線津和野区間,林道笹山山入線（緑資源幹線林道 波佐阿武線 津和野区間）,13,13,,
簾舞川,簾舞川林道,13,13,,
茂一安,茂一安林道,13,13,,
西五百川,西五百川林道,13,13,,
野花南,野花南林道,13,13,,
鋸山,林道鋸山線 / 鋸山林道,13,13,,
鍾乳洞沢,林道 鍾乳洞沢線,13,13,,
関の入,林道関の入線,13,13,,
青井川,青井川林道,13,13,,
香木原,林道香木原線,13,13,,
高山,林道　高山線 / 林道高山線 / 高山林道,13,13,,
スーパー天竜線天竜線,スーパー林道天竜線（林道天竜線）,12,12,,
バイラギ,バイラギ林道,12,12,,
フゴッペ,フゴッペ林道,12,12,,
ホロカイシカリ,ホロカイシカリ林道,12,12,,
中沢,中沢林道 / 林道中沢線,12,12,,
協和左股,協和左股林道,12,12,,
右大二股,右大二股林道,12,12,,
名風,林道名風線,12,12,,
夏路ふ化場,夏路ふ化場線林道,12,12,,
大上,林道大上線,12,12,,
奥沢本流,奥沢本流林道,12,12,,
奥漁北口,奥漁（北口）林道,12,12,,
富内第2,林道 富内第2線,12,12,,
小原永井,林道小原永井線,12,12,,
小河内川,林道小河内川線,12,12,,
岩魚沢,岩魚沢林道,12,12,,
師木野,林道師木野線,12,12,,
影の沢,影の沢林道,12,12,,
御朱印谷,林道 御朱印谷線,12,12,,
新斗満,新斗満林道,12,12,,
早瀬野,早瀬野林道,12,12,,
更埴坂城,林道更埴坂城線,12,12,,
札久留二股,札久留二股林道,12,12,,
松姫峠,林道松姫峠線,12,12,,
松山沢,松山沢林道,12,12,,
栄川岩松連絡,栄川岩松連絡林道,12,12,,
栗平,栗平林道,12,12,,
桃内,桃内林道,12,12,,
楢俣,楢俣林道,12,12,,
横沢,横沢林道,12,12,,
泉川,林道泉川線 / 泉川林道,12,12,,
泉水横手山,林道泉水横手山線,12,12,,
清水淵,清水淵林道,12,12,,
真駒内千走峰越連絡,真駒内千走峰越連絡林道,12,12,,
真駒内川,真駒内川林道,12,12,,
綾南,綾南林道,12,12,,
緑資源幹線日野金城線赤来大和区間,緑資源幹線林道 日野金城線 赤来・大和区間,12,12,,
美笛,美笛林道,12,12,,
菱山深沢,林道菱山深沢線,12,12,,
衆音,衆音林道,12,12,,
裏燧,裏燧林道,12,12,,
西荒川,西荒川林道,12,12,,
観音谷,林道観音谷線,12,12,,
足野水川,足野水川林道,12,12,,
追良瀬川,追良瀬川林道,12,12,,
雨見,雨見林道,12,12,,
霧里,林道霧里線,12,12,,
養老沢,養老沢林道,12,12,,
高松,林道高松線 / 高松林道,12,12,,
オホーツク,オホーツク林道,11,11,,
カモイ泊川マス川,カモイ泊川マス川線林道,11,11,,
チロロ,チロロ林道,11,11,,
ヌカマンベツ,林道ヌカマンベツ線,11,11,,
ポン金ヶ沢,ポン金ヶ沢林道,11,11,,
一滑,林道一滑線,11,11,,
三ツ目内,三ツ目内林道,11,11,,
下小越,林道下小越線,11,11,,
二股,二股林道,11,11,,
倉谷,倉谷林道 / 林道倉谷線,11,11,,
入良川,入良川林道,11,11,,
八幡越,八幡越林道,11,11,,
南満河,南満河林道,11,11,,
南赤石寸又左岸,南赤石（寸又左岸）林道,11,11,,
厚田中の沢,厚田中の沢林道,11,11,,
原木山,原木山林道,11,11,,
地八吉沢,林道地八吉沢線,11,11,,
坊主山,坊主山林道,11,11,,
塩沢,林道塩沢線,11,11,,
大倉,大倉林道 / 林道大倉線,11,11,,
大森,大森林道,11,11,,
大谷～大栃,大谷～大栃林道,11,11,,
大雄,林道大雄線,11,11,,
奔別,奔別林道,11,11,,
奥芦別,奥芦別林道,11,11,,
奥赤石川,奥赤石川林道,11,11,,
寺山,林道寺山線,11,11,,
小入谷,林道小入谷線,11,11,,
小屋の沢,小屋の沢林道,11,11,,
小川沢,林道小川沢線,11,11,,
小根山,林道小根山線,11,11,,
尺別,尺別林道,11,11,,
山の神,山の神林道 / 林道山の神線,11,11,,
岩内越,岩内越林道,11,11,,
峰浜,峰浜林道,11,11,,
川俣檜枝岐,川俣檜枝岐林道,11,11,,
広域基幹東豊,広域基幹林道東豊線,11,11,,
広域基幹洞数河,広域基幹林道洞数河線,11,11,,
広域基幹第２豊築,広域基幹林道第２豊築線,11,11,,
御光滝,林道御光滝線,11,11,,
日影沢,日影沢林道 / 林道日影沢線,11,11,,
普通海老山,普通林道海老山線,11,11,,
朱鞠内,朱鞠内林道,11,11,,
杖ノ神峠,林道杖ノ神峠線,11,11,,
松山,松山林道 / 林道松山線,11,11,,
栃谷坂沢,林道栃谷坂沢線,11,11,,
桧沢,林道桧沢線 / 桧沢林道,11,11,,
椿峠,林道 椿峠線,11,11,,
水無,林道水無線 / 水無林道,11,11,,
水舟,林道 水舟線,11,11,,
清水谷,林道清水谷線 / 清水谷林道,11,11,,
湯沢,林道湯沢線,11,11,,
湯波打沢,林道湯波打沢線,11,11,,
滝見,滝見林道,11,11,,
漁御料,漁御料林道,11,11,,
熊沢,熊沢林道,11,11,,
猫峠,林道猫峠線,11,11,,
相沼内川,相沼内川林道,11,11,,
砥石山,砥石山林道,11,11,,
笠形,林道笠形線,11,11,,
緑資源幹線;粟倉木屋原線;新見区間,緑資源幹線林道;粟倉・木屋原線;新見区間,11,11,,
緑資源幹線日野金城線横田区間,緑資源幹線林道 日野金城線 横田区間,11,11,,
緑資源幹線比和新庄線比和口和区間,緑資源幹線林道 比和新庄線 比和・口和区間,11,11,,
群別,群別林道,11,11,,
苫符,苫符林道,11,11,,
萩谷岡山,林道萩谷岡山線,11,11,,
蛇洞,蛇洞林道,11,11,,
西部,西部林道,11,11,,
赤倉栗生,林道赤倉栗生線,11,11,,
金城,金城林道,11,11,,
鐺別,鐺別林道,11,11,,
長洞,長洞林道,11,11,,
須藤の沢,須藤の沢林道,11,11,,
風達幹,風達幹線林道,11,11,,
黒倉,林道黒倉線 / 黒倉林道,11,11,,
黒谷,林道黒谷線 / 黒谷林道,11,11,,
5号の沢,5号の沢林道,10,10,,
とどまつ沢,とどまつ沢林道,10,10,,
オロエンナイ,オロエンナイ林道,10,10,,
クテクンベツ,クテクンベツ林道,10,10,,
コロウシ,コロウシ林道,10,10,,
シービホロ,シービホロ林道,10,10,,
ニセイベツ,ニセイベツ林道,10,10,,
ニペソツ,ニペソツ林道,10,10,,
ヌプリパオマナイ,ヌプリパオマナイ林道,10,10,,
ペンケルペシュペ,ペンケルペシュペ林道,10,10,,
マッカウシ,マッカウシ林道,10,10,,
ミタラショコツ,ミタラショコツ林道,10,10,,
ラルマ平,ラルマ平林道,10,10,,
一の谷,一の谷林道 / 林道一の谷線,10,10,,
三ツ森山,林道三ツ森山線,10,10,,
三厩小泊線増泊,三厩小泊線（増泊林道）,10,10,,
三国越,三国越林道,10,10,,
三程三程,三程（三程）林道,10,10,,
三間,林道三間線,10,10,,
上小鳥水洞下,上小鳥水洞（下）林道,10,10,,
上新穂,林道上新穂線,10,10,,
下雄柏,下雄柏林道,10,10,,
不動沢,不動沢林道 / 林道 不動沢線,10,10,,
中の沢支,中の沢支線林道,10,10,,
中之岳,林道中之岳線,10,10,,
五六峠,林道五六峠線,10,10,,
井出川,井出川林道,10,10,,
佐幌川本流,佐幌川本流林道,10,10,,
併用盤の沢,併用林道盤の沢線,10,10,,
八千代,八千代林道,10,10,,
公団幹線東津野城川線西線,公団幹線林道東津野城川線（西線）,10,10,,
北の沢,北の沢林道 / 林道北の沢線,10,10,,
古川,古川林道,10,10,,
和寒,和寒林道,10,10,,
夕森田立丸野,夕森田立林道（丸野）,10,10,,
大畑,大畑林道 / 林道大畑線,10,10,,
大霊山,林道大霊山線,10,10,,
大黒沢,大黒沢林道,10,10,,
天城岩尾支線,天城（岩尾支線）林道,10,10,,
奥野,奥野林道 / 林道奥野線,10,10,,
宇曽丹,宇曽丹林道,10,10,,
宜名真,宜名真林道,10,10,,
実川,実川林道,10,10,,
富士見,富士見林道,10,10,,
富沢,富沢林道 / 林道富沢線,10,10,,
寺尾,林道寺尾線,10,10,,
小島内田線調子野工区,林道 小島内田線 調子野工区,10,10,,
小童子川,小童子川林道,10,10,,
尻岸馬内,尻岸馬内林道,10,10,,
岩倉蝉谷,林道岩倉蝉谷線,10,10,,
平安,平安林道 / 林道平安線,10,10,,
平床,林道平床線,10,10,,
広域基幹サンギリ,広域基幹林道サンギリ線,10,10,,
恩根,恩根林道,10,10,,
愛鷹,愛鷹林道,10,10,,
戸川,戸川林道,10,10,,
折川,林道折川線,10,10,,
日影沢牛首,日影沢牛首林道,10,10,,
普通松倉川,普通林道松倉川線,10,10,,
暖日山,林道 暖日山線,10,10,,
本別沢,本別沢林道,10,10,,
東谷,東谷林道 / 林道東谷線,10,10,,
松ヶ原奥谷尻,林道松ヶ原奥谷尻線,10,10,,
松尾木曽谷中腹,松尾木曽谷林道(中腹林道),10,10,,
松田の沢,松田の沢林道,10,10,,
柴平樽滝,林道柴平樽滝線,10,10,,
権現堂,林道権現堂線,10,10,,
正利冠,正利冠林道,10,10,,
沢山,林道 沢山線 / 林道沢山線 / 沢山林道,10,10,,
灰沢下柿沢,灰沢下柿沢林道,10,10,,
炭焼平山,林道炭焼平山線,10,10,,
田代オンコ沢,田代オンコ沢林道,10,10,,
相馬,相馬林道,10,10,,
真昼岳,真昼岳林道,10,10,,
神之川,神之川林道,10,10,,
種川左股,種川左股林道,10,10,,
穂別併用,穂別併用林道,10,10,,
立杉,林道立杉線,10,10,,
糠平三股,糠平三股林道,10,10,,
緑資源幹線日野金城線日野溝口区間,緑資源幹線林道 日野金城線 日野溝口区間,10,10,,
美利河種川,林道美利河種川線,10,10,,
能取,能取林道,10,10,,
虹別,虹別林道,10,10,,
赤川,赤川林道,10,10,,
轟併用,轟併用林道,10,10,,
達磨山,林道達磨山線,10,10,,
遠田部2号,林道遠田部2号線,10,10,,
重倉,林道重倉線,10,10,,
鉱山の沢,鉱山の沢林道,10,10,,
霊山,林道霊山線,10,10,,
静川氷ノ山,林道静川氷ノ山線,10,10,,
風澗,風澗林道,10,10,,
飯縄,飯縄林道,10,10,,
鹿目,鹿目林道,10,10,,
黒姫山,林道黒姫山線,10,10,,
黒河,黒河林道,10,10,,
黒河内,黒河内林道,10,10,,
黒石,林道黒石線 / 黒石林道,10,10,,
